ProductID,SKU,ProductName,CategoryID,SupplierID,CostPrice,SellingPrice,Status
1,SKU-06-0001,Mckee-Lee Classic Jeans 786,6,42,123.81,300.11,Active
2,SKU-11-0002,"Valentine, Lite Coffee Maker 846",11,18,113.94,211.33,Active
3,SKU-11-0003,Strickland-Shaw Compact Cookware Set 801,11,4,149.31,331.76,Active
4,SKU-01-0004,Burch-Montoya Classic Camera 374,1,37,34.45,82.53,Active
5,SKU-06-0005,"Taylor, Smart Shorts 505",6,10,398.68,825.83,Active
6,SKU-04-0006,Spencer-Garcia Compact Router 369,4,38,337.42,612.12,Active
7,SKU-04-0007,"Rosales, Lite Router 605",4,8,45.45,61.65,Active
8,SKU-03-0008,Cole-Palmer Premium Drone 165,3,30,176.22,355.09,Active
9,SKU-09-0009,Davis-Lozano Ultra Chair 798,9,50,398.73,877.63,Active
10,SKU-02-0010,Wilkerson-Arias Eco Camera 261,2,47,206.91,505.81,Active
11,SKU-09-0011,Brown-Shaw Lite Coffee Maker 208,9,41,392.38,650.62,Active
12,SKU-04-0012,Hughes Lite Charger 880,4,34,76.89,187.93,Active
13,SKU-10-0013,Walker-Flores Classic Rug 119,10,20,54.78,95.07,Active
14,SKU-04-0014,Combs Elite Tablet 187,4,49,330.7,753.74,Active
15,SKU-03-0015,Moody-Taylor Lite Watch 662,3,39,78.48,151.72,Active
16,SKU-04-0016,Lowery-Kennedy Compact Speaker 830,4,42,143.71,358.44,Active
17,SKU-15-0017,Blake Compact Hair Dryer 223,15,2,115.32,158.78,Active
18,SKU-04-0018,Gilbert-Bullock Elite Speaker 107,4,15,36.59,75.28,Active
19,SKU-01-0019,Scott Classic Tablet 626,1,14,110.91,233.22,Active
20,SKU-12-0020,"Bentley, Elite Sofa 584",12,27,113.13,211.28,Active
21,SKU-02-0021,Young-Martinez Premium Charger 533,2,4,187.94,439.14,Active
22,SKU-11-0022,Barnes Pro Blender 512,11,7,329.06,743.91,Active
23,SKU-04-0023,Brown-Copeland Compact Watch 243,4,16,192.74,314.99,Active
24,SKU-02-0024,Carlson-Smith Ergonomic Router 200,2,1,27.51,68.75,Active
25,SKU-15-0025,"Andrews, Smart Massage Gun 516",15,26,221.11,344.16,Active
26,SKU-03-0026,Mendez Premium Phone 499,3,30,123.02,275.67,Active
27,SKU-12-0027,"Butler, Compact Rug 258",12,4,89.5,139.73,Active
28,SKU-09-0028,Jones-Fox Ultra Air Purifier 158,9,34,27.31,51.13,Active
29,SKU-09-0029,"Hartman, Pro Lamp 170",9,16,269.79,569.33,Active
30,SKU-15-0030,Williams-Hughes Elite Shampoo 692,15,27,269.56,550.78,Active
31,SKU-10-0031,King-Smith Compact Air Purifier 367,10,16,95.9,207.09,Active
32,SKU-03-0032,Cooper Eco Watch 423,3,1,418.41,1013.76,Active
33,SKU-10-0033,"Fuller, Pro Chair 650",10,23,99.85,161.58,Active
34,SKU-15-0034,Anderson-Bell Smart Vitamin Pack 391,15,46,75.2,173.0,Active
35,SKU-13-0035,Li-Thompson Compact Serume 783,13,43,368.61,611.62,Active
36,SKU-15-0036,"Marshall, Lite Perfume 218",15,10,400.92,878.38,Active
37,SKU-10-0037,Brown Smart Air Purifier 308,10,33,310.94,722.47,Active
38,SKU-15-0038,Carter Ultra Moisturizer 749,15,1,193.49,315.78,Active
39,SKU-03-0039,Blackwell Eco Headphones 859,3,36,201.62,432.84,Discontinued
40,SKU-02-0040,Robertson-Hays Lite Router 136,2,10,376.39,752.41,Active
41,SKU-01-0041,"Kennedy, Eco Charger 915",1,23,437.63,589.87,Active
42,SKU-04-0042,Kelly-Norman Pro Charger 898,4,40,254.15,597.16,Active
43,SKU-15-0043,"Rivera, Smart Massage Gun 919",15,2,365.79,862.42,Active
44,SKU-15-0044,Paul-Kline Classic Face Mask 921,15,16,303.11,661.41,Active
45,SKU-13-0045,Morgan-Lopez Pro Face Mask 993,13,13,22.23,41.46,Active
46,SKU-08-0046,"Jimenez, Classic Hoodie 940",8,2,358.93,564.64,Active
47,SKU-07-0047,Acosta Classic Hoodie 985,7,23,35.89,79.96,Active
48,SKU-07-0048,Morrison-Short Compact Dress 128,7,12,56.33,138.82,Active
49,SKU-05-0049,"Carter, Ultra Sneakers 710",5,21,198.38,431.33,Active
50,SKU-09-0050,Parker-Morrison Pro Vacuum 690,9,28,89.59,121.24,Discontinued
51,SKU-15-0051,Jackson-Wallace Compact Shampoo 472,15,22,196.93,480.24,Active
52,SKU-11-0052,Williams-Berg Pro Desk 619,11,26,142.63,255.32,Active
53,SKU-09-0053,Mendez-Graham Lite Cookware Set 530,9,48,300.89,528.05,Active
54,SKU-10-0054,"Whitney, Elite Desk 515",10,19,248.83,323.6,Active
55,SKU-13-0055,"Sullivan, Elite Trimmer 770",13,44,148.4,271.59,Active
56,SKU-08-0056,Cisneros Lite Sneakers 390,8,22,234.38,482.71,Active
57,SKU-13-0057,"Gregory, Smart Perfume 330",13,3,363.92,537.45,Active
58,SKU-08-0058,Osborne Elite Sneakers 566,8,13,189.43,389.41,Active
59,SKU-07-0059,Reyes-Bradley Ergonomic Boots 349,7,49,70.67,150.18,Active
60,SKU-15-0060,"Hernandez, Pro Face Mask 324",15,34,83.27,203.97,Active
61,SKU-09-0061,Hines-Berry Smart Chair 567,9,34,64.34,119.52,Active
62,SKU-10-0062,"Richardson, Classic Rug 727",10,28,367.68,871.56,Active
63,SKU-09-0063,Johnson Ergonomic Lamp 861,9,49,388.37,714.63,Active
64,SKU-11-0064,Holmes-Mcintyre Eco Coffee Maker 596,11,5,283.9,462.62,Active
65,SKU-04-0065,Green Eco Charger 427,4,10,402.4,562.03,Active
66,SKU-12-0066,"Griffin, Lite Cookware Set 165",12,30,189.62,321.8,Active
67,SKU-04-0067,Gonzalez-Taylor Premium Camera 888,4,49,264.92,565.51,Active
68,SKU-08-0068,Hayes Ultra Dress 405,8,27,340.3,790.9,Active
69,SKU-12-0069,Osborn-Cochran Compact Sofa 325,12,32,222.26,361.73,Discontinued
70,SKU-06-0070,Contreras-Mckinney Premium T-Shirt 960,6,40,212.99,309.51,Active
71,SKU-15-0071,"Daniels, Premium Trimmer 677",15,28,300.03,420.26,Active
72,SKU-08-0072,"Mckinney, Lite Jacket 366",8,21,173.7,269.93,Active
73,SKU-15-0073,Hicks-Martinez Premium Perfume 870,15,6,428.29,773.44,Active
74,SKU-12-0074,Conner Compact Blender 458,12,42,104.78,144.84,Discontinued
75,SKU-01-0075,Johnson-Spencer Smart Speaker 959,1,9,14.07,20.86,Active
76,SKU-02-0076,Mcdonald-Bird Elite Speaker 576,2,11,316.26,702.19,Active
77,SKU-12-0077,Salazar Pro Lamp 418,12,20,53.1,70.67,Active
78,SKU-15-0078,Parker Premium Face Mask 832,15,41,93.26,187.5,Active
79,SKU-12-0079,"Mendoza, Eco Sofa 924",12,3,58.87,146.03,Active
80,SKU-07-0080,"Jones, Classic Sneakers 618",7,27,293.16,385.56,Active
81,SKU-02-0081,Owens-Holmes Premium Charger 750,2,10,401.75,743.92,Active
82,SKU-12-0082,Humphrey Compact Desk 730,12,31,364.65,709.54,Active
83,SKU-14-0083,"Matthews, Elite Perfume 430",14,6,384.01,882.02,Active
84,SKU-08-0084,"Bartlett, Smart Shorts 683",8,2,276.6,485.37,Active
85,SKU-06-0085,Torres Lite Shorts 317,6,18,162.9,262.27,Active
86,SKU-12-0086,Donovan-Perez Eco Coffee Maker 110,12,16,234.9,359.22,Active
87,SKU-08-0087,"Jacobson, Compact Jeans 807",8,29,216.86,467.16,Active
88,SKU-02-0088,"Huber, Eco Speaker 514",2,38,312.85,521.66,Active
89,SKU-09-0089,"Ferguson, Compact Air Purifier 535",9,23,448.5,879.27,Active
90,SKU-05-0090,"Moore, Eco Hoodie 336",5,8,58.69,89.86,Active
91,SKU-13-0091,"Morgan, Lite Shampoo 321",13,38,333.68,544.5,Active
92,SKU-09-0092,Miller Elite Desk 202,9,24,375.52,621.67,Active
93,SKU-01-0093,"Baker, Compact Headphones 380",1,19,25.25,34.48,Active
94,SKU-03-0094,"Fowler, Ergonomic Tablet 993",3,31,10.46,17.17,Active
95,SKU-03-0095,May-Turner Ultra Monitor 982,3,26,217.59,497.53,Active
96,SKU-10-0096,Ballard Ultra Lamp 252,10,6,365.96,892.56,Active
97,SKU-02-0097,Evans-Jones Compact Camera 720,2,50,270.28,551.94,Active
98,SKU-08-0098,Moore Ergonomic Hoodie 980,8,37,266.89,484.3,Active
99,SKU-10-0099,Marshall-Peterson Pro Cookware Set 740,10,11,98.91,206.97,Active
100,SKU-09-0100,Edwards Pro Lamp 102,9,31,186.79,397.35,Active
101,SKU-04-0101,Gross-Valencia Eco Monitor 819,4,15,387.52,536.88,Active
102,SKU-13-0102,Anderson-Wood Elite Shampoo 535,13,10,56.08,88.03,Active
103,SKU-14-0103,"Rodriguez, Lite Moisturizer 161",14,48,78.84,131.59,Active
104,SKU-15-0104,Wright-Davis Eco Hair Dryer 227,15,26,213.57,355.57,Active
105,SKU-09-0105,Dougherty-Lin Compact Rug 548,9,28,40.8,54.99,Active
106,SKU-10-0106,Wright-Grimes Eco Blender 193,10,37,106.87,225.41,Active
107,SKU-01-0107,Li Eco Drone 141,1,34,344.58,520.39,Active
108,SKU-15-0108,"Edwards, Eco Massage Gun 699",15,6,198.97,453.07,Active
109,SKU-07-0109,"Owens, Classic Dress 786",7,27,51.55,76.96,Active
110,SKU-05-0110,Landry Premium Sweater 137,5,21,207.4,347.9,Active
111,SKU-13-0111,Levy-Lewis Premium Sunscreen 944,13,35,444.71,929.08,Active
112,SKU-01-0112,Williams-Campbell Smart Router 470,1,29,282.07,535.42,Active
113,SKU-04-0113,"Khan, Eco Router 234",4,45,417.81,762.81,Active
114,SKU-01-0114,"Smith, Elite Speaker 826",1,36,75.48,148.02,Active
115,SKU-04-0115,Luna-Gallagher Pro Watch 220,4,46,293.23,435.38,Active
116,SKU-12-0116,Williams-Williams Eco Vacuum 954,12,30,219.71,410.12,Active
117,SKU-07-0117,"Lee, Smart Coat 620",7,5,337.1,493.45,Active
