ProductID,SKU,ProductName,CategoryID,SupplierID,CostPrice,SellingPrice,Status
1,ZUD-13-0001,Zudio Sporty Flat Sandals 69,13,36,305.96,699.0,Active
2,ZUD-01-0002,Zudio Cozy Polo T-Shirt 97,1,50,460.86,899.0,Active
3,ZUD-04-0003,Zudio Solid Joggers 30,4,47,319.99,799.0,Active
4,ZUD-09-0004,Zudio Denim Denim Shorts 74,9,20,79.06,149.0,Active
5,ZUD-17-0005,Zudio Stretch Eau de Toilette 29,17,35,76.64,149.0,Active
6,ZUD-17-0006,Zudio Casual Ankle Socks 51,17,24,80.18,199.0,Active
7,ZUD-10-0007,Zudio Printed Printed Tee 40,10,6,216.27,399.0,Active
8,ZUD-03-0008,Zudio Denim Casual Shirt 26,3,11,433.08,799.0,Active
9,ZUD-14-0009,Zudio Printed Flat Sandals 98,14,26,202.27,399.0,Active
10,ZUD-12-0010,Zudio Ethnic Flat Sandals 67,12,5,130.72,299.0,Active
11,ZUD-08-0011,Zudio Stretch Straight Kurti 10,8,4,126.04,249.0,Active
12,ZUD-02-0012,Zudio Classic Polo T-Shirt 75,2,32,176.27,399.0,Active
13,ZUD-05-0013,Zudio Stylish Leggings 41,5,13,416.38,799.0,Active
14,ZUD-14-0014,Zudio Classic Flip Flops 62,14,4,317.22,599.0,Active
15,ZUD-04-0015,Zudio Casual Joggers 53,4,13,108.89,249.0,Active
16,ZUD-05-0016,Zudio Sporty Anarkali Kurta 45,5,5,349.54,799.0,Active
17,ZUD-04-0017,Zudio Casual Track Pants 11,4,16,134.2,249.0,Active
18,ZUD-16-0018,Zudio Ethnic Eau de Toilette 61,16,1,33.55,79.0,Active
19,ZUD-09-0019,Zudio Ethnic Frock 64,9,36,271.26,499.0,Active
20,ZUD-16-0020,Zudio Regular Eau de Toilette 47,16,38,53.99,99.0,Active
21,ZUD-02-0021,Zudio Stylish Denim Jeans 17,2,33,97.04,199.0,Active
22,ZUD-17-0022,Zudio Regular Deodorant Spray 75,17,5,41.69,79.0,Active
23,ZUD-08-0023,Zudio Sporty Cropped Top 82,8,3,194.25,399.0,Active
24,ZUD-14-0024,Zudio Cozy Flat Sandals 82,14,17,312.77,699.0,Active
25,ZUD-11-0025,Zudio Printed Frock 60,11,20,99.65,199.0,Active
26,ZUD-03-0026,Zudio Casual Hoodie 89,3,5,548.87,999.0,Active
27,ZUD-17-0027,Zudio Solid Eau de Toilette 54,17,24,42.02,79.0,Active
28,ZUD-15-0028,Zudio Denim Canvas Backpack 48,15,42,136.35,249.0,Active
29,ZUD-10-0029,Zudio Cozy Printed Tee 27,10,7,103.91,249.0,Active
30,ZUD-05-0030,Zudio Solid Skinny Jeans 87,5,14,202.55,399.0,Active
31,ZUD-09-0031,Zudio Denim Jumpsuit 42,9,41,244.16,599.0,Active
32,ZUD-09-0032,Zudio Casual Printed Tee 52,9,17,251.35,599.0,Active
33,ZUD-15-0033,Zudio Denim Canvas Backpack 64,15,5,99.96,249.0,Active
34,ZUD-05-0034,Zudio Denim Graphic Tee 57,5,28,482.4,999.0,Active
35,ZUD-10-0035,Zudio Classic Printed Tee 55,10,43,99.96,199.0,Active
36,ZUD-14-0036,Zudio Stretch Canvas Shoes 29,14,12,211.35,399.0,Active
37,ZUD-01-0037,Zudio Regular Denim Jeans 62,1,45,175.57,399.0,Active
38,ZUD-02-0038,Zudio Ethnic Chino Pants 35,2,15,361.51,799.0,Active
39,ZUD-07-0039,Zudio Sporty Palazzo Pants 45,7,18,135.71,249.0,Active
40,ZUD-17-0040,Zudio Sporty Canvas Backpack 78,17,8,80.59,149.0,Active
41,ZUD-09-0041,Zudio Regular Tracksuit 43,9,28,62.02,149.0,Active
42,ZUD-11-0042,Zudio Sporty Tracksuit 75,11,37,68.21,149.0,Active
43,ZUD-02-0043,Zudio Stylish Joggers 10,2,35,484.41,899.0,Active
44,ZUD-07-0044,Zudio Classic Maxi Dress 18,7,43,295.59,599.0,Active
45,ZUD-10-0045,Zudio Denim Frock 95,10,45,134.23,299.0,Active
46,ZUD-05-0046,Zudio Printed Maxi Dress 95,5,12,350.62,699.0,Active
47,ZUD-10-0047,Zudio Sporty Tracksuit 10,10,28,110.32,249.0,Active
48,ZUD-11-0048,Zudio Ethnic Jumpsuit 66,11,31,215.6,499.0,Active
49,ZUD-06-0049,Zudio Cozy Cropped Top 46,6,40,449.12,899.0,Active
50,ZUD-08-0050,Zudio Cozy Skinny Jeans 38,8,3,168.42,399.0,Active
51,ZUD-16-0051,Zudio Stretch Leather Belt 19,16,41,91.97,199.0,Active
52,ZUD-13-0052,Zudio Ethnic Flip Flops 41,13,1,198.87,399.0,Active
53,ZUD-04-0053,Zudio Sporty Chino Pants 32,4,36,422.24,899.0,Active
54,ZUD-04-0054,Zudio Ethnic Casual Shirt 69,4,39,492.82,899.0,Active
